,PM2.5,water_EQI_22July2013,land_EQI_22July2013,PCP Ratio,MHP Ratio,Dentist Ratio,FIPS,Latitude,Longitude,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% No high school diploma,% Bachelors,Median household income,Healthcare Costs,Preventable Hosp. Rate,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% Insufficient Sleep,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Driving,% Uninsured,% Diabetic,% Unemployed,Income Ratio,Violent Crime Rate,Injury Death Rate,% Severe Housing Problems,% Long Commute - Drives Alone,Years of Potential Life Lost Rate,Chlamydia Rate,perc_pop_fluo,PrescribingRate
827,8.8,-1.110278,0.6109398,2656,5335,2668,19077,41.669446,-94.431251,11.86810464,2.882821661,3.212049226,3.105590062,1428.691174,57635,8707.19,3835,15.23475404,33.7,8.5,29.1,26.9673812,74.80372467,19.54877469,25,5.538759221,8.6,3.198713367,3.931431073,32.93962637,73.06107156,12.07087486,38.9,5822.117088,281,0.627480012,9
828,9.1,0.5519472,0.8142358,2513,3779,2519,19079,42.407552,-93.766985,11.86907078,2.741162085,3.204341817,5.050505051,2147.345667,57106,9433.94,5557,15.07116734,32.2,8.3,22.1,27.91061937,84.8274102,20.008174,23.07692308,5.234551384,10.6,3.258251877,3.849080684,210.9287456,63.3161852,12.5293657,22.4,5951.712187,283.1,0.954750746,55.9
829,8.4,-0.970624,0.9560568,3612,10771,1795,19081,43.092013,-93.705072,11.31230608,2.774715399,3.111182936,4.651162791,1598.51593,56542,9591.58,3682,13.51784482,36.4,8.6,25.9,26.95508554,75.69879199,20.57636407,36.36363636,4.891815616,9.8,2.614485223,3.788532579,117.4981923,63.98420504,7.165775401,23.5,5246.770299,91.1,0.873170064,0.1
830,9.2,0.233498,0.6816815,2153,2131,1421,19083,42.436775,-93.215799,12.83272918,2.865544612,3.283213296,6.19047619,2746.353462,52662,9192.32,2819,14.39579151,36,8.6,20.6,27.87940428,85.4169043,20.74658214,40,5.209295168,10.3,3.233419873,4.10731666,106.0842434,56.71755814,7.598566308,22.1,5439.65683,357,0.876194175,52.6
831,8.9,0.5119011,0.9312399,2830,4712,2356,19085,41.662391,-95.807433,13.06406779,3.0103214,3.254332489,3.783783784,2186.648582,55835,9852.57,3955,14.3152704,34.3,8.3,24.7,29.89843966,51.70819936,19.39156562,18.75,5,12,2.743819614,4.276823325,31.62777622,64.51160508,10.87866109,43.1,6218.39837,273.4,0.693193966,60.6
832,10.3,0.1522841,0.6448594,1236,993,1655,19087,40.981343,-91.537058,14.9908573,3.071321155,3.38283056,11.35531135,2243.807421,53670,8413.28,4208,16.71298193,34.1,7.6,24.6,30.69692052,78.55547282,21.10958493,18.75,4.695311444,9.8,2.985228799,3.689915399,224.7073579,66.98325419,11.27868853,21.7,5948.516631,230.6,1,65.3
833,8.3,0.5005509,0.5899247,2333,4614,4614,19089,43.361616,-92.231027,13.06304174,3.119636592,3.305868332,5.384615385,1326.299266,53046,8245.3,2848,15.11218321,30.9,7.7,26.9,26.57709628,80.38887727,19.70592474,25,5.729095621,9.3,3.047470209,3.499814471,63.48534547,53.25380765,12.41914618,22.9,5593.954063,95.6,0.729160013,28
834,8.6,0.227146,0.7377809,4744,9564,2391,19091,42.74679,-94.215551,13.19113186,3.159154709,3.364964966,5.217391304,1658.624499,57197,9008.61,3288,16.12391674,33,8.2,27.3,27.95199347,72.34844626,19.32221688,50,4.66853408,9.6,3.053290347,4.467859214,57.37833186,73.01706513,7.637231504,21,7141.649395,303.5,0.756792287,52.4
835,8.6,-0.5285395,0.7251211,3493,6865,2288,19093,42.391343,-95.504381,11.6016164,2.802729719,3.137233722,2.127659574,1111.289468,55732,10751.72,5251,13.77607529,32.2,8.8,26.1,26.06300307,78.05050078,18.99775557,33.33333333,4.684317719,10.6,2.357905187,4.504253329,162.177408,59.89561051,5.483870968,18.3,4011.866723,71.1,0.415412769,65.5
836,9.9,0.4511006,0.6307704,1255,1610,3221,19095,41.702615,-92.039923,11.7470108,2.748790779,3.167060142,4.371584699,2418.124534,64091,8379.06,3894,13.89131312,34.2,8.6,21.3,26.03780749,76.39254051,20.07345759,24,4.031524705,9.9,2.643634281,3.801504758,103.8041155,84.64180569,7.697947214,34.1,6605.172794,182.9,0.4124278,28.8
